ID,price,countofbedrooms,countofbathrooms,size,minimumtosubway,buildingage,haswasher,haselevator,hasdishwasher,hasgym
2080,2395,0.0,1,525,3,66,1,0,0,0
2089,7500,1.0,1,750,3,96,1,1,0,1
2096,11500,2.0,2,1200,4,89,1,1,0,0
2101,4000,3.0,1,700,5,96,1,0,1,0
2122,3300,1.0,1,885,1,106,1,0,0,0
2148,2395,0.0,1,463,3,51,1,1,0,1
2165,6100,1.0,2,912,2,124,1,1,1,0
2168,2750,0.0,1,400,6,106,1,1,1,1
2169,3650,1.0,1,750,4,89,1,1,1,0
2227,9500,2.0,2,1430,4,58,1,1,0,1
2245,3410,1.0,1,850,3,66,1,1,1,1
2255,11995,4.0,3,2132,2,86,1,1,1,0
2264,2975,1.0,1,650,1,89,1,1,0,0
2289,4200,2.0,1,1000,0,96,1,1,0,0
2293,10000,2.0,3,1721,1,90,1,0,0,0
2295,4800,2.0,1,800,1,103,1,0,1,0
2311,3387,1.0,1,750,6,106,1,1,0,1
2324,3460,0.0,1,538,3,54,1,1,1,0
2338,12500,2.0,2,2539,3,101,1,0,0,0
2357,5827,2.0,2,1385,2,116,1,0,1,0
2378,4600,1.0,1,1045,1,88,1,1,1,1
2388,3200,1.0,1,700,6,53,1,1,0,1
2401,10900,2.0,2,1508,1,89,1,0,0,0
2415,10500,3.0,3,1940,0,87,1,0,0,0
2434,15000,3.0,2,2115,4,91,1,1,1,1
2445,4650,2.0,1,1100,4,106,1,1,1,0
2457,4000,1.0,2,893,1,77,1,0,1,0
2463,11495,3.0,3,2038,1,180,1,1,0,1
2493,7700,2.0,2,1309,3,52,1,1,1,0
2498,7500,2.0,2,1450,4,61,1,1,1,0
2506,2675,0.0,1,445,1,103,1,1,0,0
2536,2850,1.0,1,750,1,96,1,1,0,0
2562,2995,1.0,1,616,9,105,1,1,1,1
2565,4500,2.0,1,900,8,52,1,1,1,1
2567,4100,2.0,1,550,1,116,1,0,1,0
2581,2550,0.0,1,400,5,82,1,0,1,0
2587,5195,3.0,1,1100,9,86,1,1,1,1
2597,3600,3.0,1,1100,3,106,1,1,1,0
2601,4700,3.0,2,1150,14,116,1,0,0,0
2656,3400,2.0,1,900,3,52,1,0,1,0
2684,12500,1.0,1,2600,5,96,1,0,0,0
2688,3895,1.0,1,828,5,86,1,0,0,0
2712,2950,1.0,1,500,7,88,1,0,0,0
2716,5200,2.0,2,1400,8,86,1,0,1,0
2717,3450,1.0,1,800,3,89,1,1,1,0
2731,2100,0.0,1,550,3,116,1,0,0,0
2739,13750,3.0,3,1683,1,89,1,0,1,0
2748,4500,0.0,1,500,6,116,1,0,1,0
2796,9200,2.0,2,1500,2,106,1,0,1,0
2807,2500,0.0,1,550,1,54,1,0,1,0
2851,16900,2.0,2,1599,2,56,1,1,1,1
2867,3250,0.0,1,726,1,76,1,0,1,0
2875,4200,1.0,1,950,1,76,1,0,0,0
2879,8500,2.0,2,1322,5,84,1,1,0,0
2884,14900,2.0,2,1600,2,56,1,1,1,1
2889,7500,2.0,2,1287,5,110,1,1,1,1
2897,3225,1.0,1,684,2,90,1,1,1,1
2907,4300,1.0,1,650,2,89,1,1,1,0
2916,2390,0.0,1,505,1,75,1,0,0,0
2919,2700,0.0,1,575,6,53,1,1,1,1
2920,7556,3.0,3,1967,16,65,1,1,0,1
2930,1900,0.0,1,300,3,116,1,1,1,0
2944,3575,1.0,1,591,6,113,1,1,1,0
2945,4600,2.0,1,1100,9,81,1,1,0,1
2985,3600,1.0,1,800,4,85,1,1,0,1
2995,2725,0.0,1,600,3,51,1,1,0,1
3018,6850,2.0,2,1200,2,116,1,0,1,0
3035,7999,2.0,2,1911,2,86,1,1,1,1
3042,9167,2.0,2,1488,1,90,1,0,1,0
3046,3995,1.0,1,924,7,52,1,1,0,1
3052,2795,2.0,1,750,11,91,1,0,0,0
3067,3000,0.0,1,700,6,57,1,0,0,0
3096,6250,1.0,1,917,3,116,1,1,0,1
3104,2750,0.0,1,417,6,106,1,1,1,1
3107,4700,1.0,1,1000,4,93,1,1,0,1
3113,4200,1.0,1,772,3,94,1,1,1,1
3115,2400,1.0,1,575,3,96,1,0,0,0
3124,18000,3.0,2,2352,2,86,1,0,0,0
3145,3525,2.0,2,777,6,106,1,1,1,1
3160,3950,0.0,1,500,3,86,1,1,1,0
3202,6000,2.0,2,1166,2,58,1,1,0,0
3216,9000,1.0,1,1450,4,89,1,1,1,1
3236,8995,1.0,2,1553,4,110,1,1,1,1
3254,17900,3.0,2,3680,4,106,1,1,0,0
3288,3950,1.0,1,841,2,85,1,1,0,0
3290,4299,2.0,1,925,2,57,1,1,1,1
3298,2595,2.0,1,600,8,91,1,1,1,1
3300,2495,0.0,1,484,5,56,1,0,0,1
3302,3589,1.0,1,964,5,101,1,1,1,1
3313,4575,1.0,1,730,3,89,1,1,0,1
3323,4975,2.0,1,1040,2,86,1,1,0,1
3328,5999,2.0,2,1500,2,116,1,1,1,1
3332,3125,1.0,1,744,6,116,1,1,1,0
3366,10500,3.0,2,1926,2,122,1,1,1,1
3380,8200,2.0,1,1220,1,109,1,1,1,1
3381,2850,1.0,1,565,6,114,1,1,0,1
3391,6995,1.0,2,1260,3,111,1,0,0,0
3396,3995,1.0,1,750,4,108,1,0,1,0
3404,2850,0.5,1,618,0,87,1,1,0,1
3431,7650,1.0,1,1100,2,116,1,0,0,0
3434,5995,0.0,1,960,1,180,1,1,1,1
3446,11500,5.0,3,2321,16,65,1,1,1,1
3447,8000,2.0,2,2000,2,101,1,0,1,0
3452,6795,3.0,2,1500,1,101,1,1,1,0
3460,5500,2.0,1,1100,3,88,1,1,0,0
3476,1800,1.0,1,670,4,116,1,1,1,1
3481,9162,2.0,2,1665,2,106,1,0,0,0
3482,5995,3.0,3,1900,3,66,1,1,1,1
3492,3800,0.0,1,659,1,52,1,0,0,0
